Number,Short description,Priority,Assignment group,Description,Business Application,Category,Subcategory,Resolution notes,Summarized_Issue,Summarized_Recommendations
INC0047353,[ALR][DTW4-IDT1]Auto Alert for BW4: PC_META_DAILY_NIGHT,4 - Low,AM - SAP RAA,"Hi RAA Team, The following process chain(s) encountered error. Please check. Error occurred for following chains: PC_META_DAILY_NIGHT 31.10.2023 22:30:22 AEQ4F0PUAF76UQZ0T6NDN90IN Meta Chain - Daily - Night Process Start Process Chain in Local System, variant Master Data - Meta Chain has status Error (instance AFRAAGLCCC7TQ1Q1C4LQ6WVKV) Process Start Process Chain in Local System, variant Master Data - MQE has status Error (instance DR3YL2EL5PPDRNXH90B1D0WKF) Process Execute Data Transfer Process, variant FULL - 1CL_OLIO001 / EMDCLNT020 -> /LION/BATCHMAT has status Error (instance DTPR__20231031114814000065000) Update terminated in accordance with error handling setting Roll back executed for data package 000002 Error in substep Messages for 1 data records saved; request is red acc. to configuration Data package 2 / 31.10.2023 22:56:28 / Status 'Processed with Errors'",SAP Business Warehouse for HANA (BW4HANA),SAP,Reporting & Analytics (RAA),"Issue:  PC_META_DAILY_NIGHT failed due to duplicate BatchMat
Impact: Delay in data load
Cause: Process Execute Data Transfer Process, variant FULL - 1CL_OLIO001 / EMDCLNT020 -> /LION/BATCHMAT has status Error
Resolution:
1. Get the Batchmat details and provide the same details to P2M team.
2. skip the failed job
3. re-run the failed job after P2M team remove the duplicate BATCHMAT record.","ISSUE:
The ticket INC0047353 pertains to an error encountered in the process chains of the SAP Business Warehouse for HANA (BW4HANA). The specific process chain that encountered the error is PC_META_DAILY_NIGHT. The error was due to a duplicate BatchMat, which caused the Process Execute Data Transfer Process variant FULL - 1CL_OLIO001 - EMDCLNT020 - LIONBATCHMAT to fail. This resulted in a delay in data load.

","RECOMMENDATIONS:
The resolution provided in the ticket involves the following steps:

1. Get the Batchmat details and provide the same details to the P2M team.
2. Skip the failed job.
3. Rerun the failed job after the P2M team removes the duplicate BATCHMAT record.

Please note that these recommendations are based on the resolution notes provided in the ticket."
INC0047338,[BRQ-BS][EX13-CWF2]Concur Error,4 - Low,AM - Concur,Can you please assist in pushing through this expense payment. As you can see in the attached screenshot. The expense has been approved by Sam Fischer some time ago so not sure why it hasn't been cleared for payment yet.,Concur,SAP,Concur,"Resolution : Approved the claim and processed the claim in SAP ,the claim is in sent for payment state and informed user about it, Hence no action pending we are proceeding for ticket closure.
RFC#: N/A

Please respond to the survey generated upon closing this ticket. It will help us improve the service we provide to the business.""","ISSUE:
The ticket INC0047338 was raised due to an issue with an expense claim in the Concur system. The claim had been approved by Sam Fischer, but it had not been cleared for payment. The user requested assistance in pushing through the expense payment. The issue was identified as a discrepancy between the cost center in the expense claim and the cost center assigned to the user. The finance team was consulted and it was discovered that the cost center in the expense claim was locked.

","RECOMMENDATIONS:
Based on the resolution notes and my understanding of the issue, the following steps were taken to resolve the issue:

1. Consult with the finance team to unlock the cost center in the expense claim. This allowed the expense form to be processed for payment.
2. Update the cost center in the expense claim to match the cost center assigned to the user. This prevented similar issues from occurring in the future.
3. Once the cost center had been updated and unlocked, reprocess the expense report.
4. Confirm with the user that the expense report has been processed successfully.
5. If no further issues are reported by the user, close the ticket.

Please note that these recommendations are purely generated by myself based on the information provided in the ticket."
INC0047331,[BRQ]Finance Approver on leave,4 - Low,AM - SAP R2R,please can you send the FINANCE APPROVE ONLY to Sam Herrick as Anushi Stringer is on leave.,SAP S4 Record to Report (R2R),SAP,Record to Report (R2R),"Resolution: Re-routed the requests using SWIA transaction code
Top-Level Task: WS90200036 (Project Request Workflow template)
Status: Filter for not equal to COMPLETED (this will select open tasks only)
Created On: Enter desired creation date range.
Creation Time: Enter 00:00:00 to 23:59:59 to get all created for the whole day","ISSUE:
The ticket INC0047331 was raised due to the absence of Anushi Stringer, a Finance Approver, who was on leave. The request was to reroute the ""FINANCE APPROVE ONLY"" tasks to Sam Herrick during Anushi's leave. The issue was categorized under the SAP S4 Record to Report (R2R) business application and was assigned to the AM SAP R2R group. The priority of the ticket was low.

","RECOMMENDATIONS:
Based on the resolution notes and work notes, the following steps were taken to resolve the issue:

1. The requests were rerouted using the SWIA transaction code.
2. The ""Top Level Task WS90200036 Project Request Workflow template"" was used.
3. A status filter was applied for tasks not equal to COMPLETED to select only open tasks.
4. The creation date range and time were entered to get all tasks created for the whole day.
5. The approver request was rerouted from Anushi Stringer to Samuel Herrick.
6. After no further action was pending, the request was closed.

Please note that these recommendations are based on the information provided in the ticket description and the historical resolution of similar issues."
INC0047315,[BRQ][IBD7-IIT1]NOF pallet for BVC at Percy St,4 - Low,AM - SAP LAW,"Hi,
BVC are reporting that the below pallet is not on file.  Can the ASN for it please be sent through. 
Material: 1200980
SSCC: 193118901055851111
IBD: 184111139
OBD: 87982459
BBD: 30.07.2024
Thanks,
Sally",SAP S4 Logistics and Warehousing (LAW),SAP,Logistics and Warehousing (LAW),"Root cause: BVC reporting that the pallet 193118901055851111 is not on file.
Resolution: AM Team has retriggered the ASN 184111139","ISSUE:
The ticket INC0047315 was raised due to a problem with a pallet that was not on file for BVC. The pallet in question contained the product with SKU 1200980 and SSCC 193118901055851111. The issue was categorized under SAP and specifically under Logistics and Warehousing LAW. The ticket was assigned a low priority of 4. The problem was that BVC reported that the pallet was not on file, and the requester, Sally, asked for the ASN for this pallet to be sent through.

","RECOMMENDATIONS:
The resolution for this issue was carried out by the AM Team who retriggered the ASN 184111139 for the pallet. After this action was taken, it was recommended that the ticket could be closed. The person who suggested the closure of the ticket was Sally. It is advisable to monitor similar situations in the future to prevent the recurrence of such issues. If similar problems arise, the same resolution process can be applied.

Steps Breakdown:
1. Identify the issue with the pallet not being on file for BVC.
2. Retrigger the ASN for the pallet by the AM Team.
3. Confirm the resolution and suggest the closure of the ticket.
4. Close the ticket after confirmation.

Please note that these recommendations are generated based on the provided information and my understanding of the issue. If further action is needed, it may be beneficial to investigate why the pallet was not initially on file to prevent similar issues in the future."
INC0047311,[ALR][PTL2-IBT4]FileSystems//Use%: 88  on  syaqhybapp01.lion.aws,4 - Low,AM - Hybris eComm,"
            Dear Team,
            An alert has been triggered from ORIGIN : OMi , Category : Linux, SubCategory : AWS is triggered at 2023-10-31 03:10:15 EST,
            
            Value : ,
            ciHint : syaqhybapp01.lion.aws|syaqhybapp01.lion.aws,
            Environment : PRD,
            Priority : 3 - Medium
        ",myWizard AiOps SAP360,Server,Virtual Desktop (AWS),QA App 1 is at 78% and below threshold. Hence closing this ticket.,"ISSUE:
The ticket with the number INC0047311 pertains to an alert triggered from ORIGIN OMi, under the category Linux and subcategory AWS. The alert was triggered on 31st October 2023 at 03:10:15 EST. The issue was related to the file system usage on the server 'syaqhybapp01lionaws', which was reported to be at 88%. The environment affected was PRD and the priority was set to medium. The business application affected was myWizard AiOps SAP360 and the assignment group was AM Hybris eComm. However, it was later found that the QA App 1 was at 78% and below the threshold, leading to the decision to close the ticket.

","RECOMMENDATIONS:
1. Regularly monitor the file system usage on the server 'syaqhybapp01lionaws' to prevent it from reaching the threshold.
2. Implement an automated alert system to notify the team when the usage is nearing the threshold.
3. Regularly clean up or archive unnecessary files to maintain optimal file system usage.
4. Consider increasing the storage capacity if the usage frequently nears or exceeds the threshold.
5. Regularly update the log files and keep them zipped to save space.

Please note that these recommendations are generated based on the information provided in the ticket and general best practices."
INC0047306,[BRQ][QMC2- IUE2] BE stock stuck in quality inspection after UD accepted,4 - Low,AM - SAP P2M,Batch 164993 of item 1014997 inspection lot   40000105847 did not post to unrestricted once UD was completed.  Can you please post it to unrestricted and find out why it did work as it should?,SAP S4 Manufacturing and Quality Environment (MQE),SAP,Manufacturing Quality Excellence (MQE),"Stock moved out from quality inspection to unrestricted. info shared with user via mail, hence closing this ticket.","ISSUE:
The ticket INC0047306 was raised due to an issue with Batch 164993 of item 1014997, which was stuck in quality inspection even after the Usage Decision (UD) was completed. The stock did not post to unrestricted as it should have, which prompted the user to request assistance in moving it to unrestricted and investigating why it did not work as expected.

","RECOMMENDATIONS:
Based on the resolution notes and historical tickets, the issue was resolved by moving the stock from quality inspection to unrestricted. This action allowed the stock to be consumed as needed. The steps breakdown for this process is not explicitly provided in the ticket, but based on similar issues, it might involve the following steps:

1. Identify the batch of stock that is stuck in quality inspection.
2. Check the status of the Usage Decision (UD) for the batch.
3. If the UD is completed but the stock is still in quality inspection, manually move the stock to unrestricted.
4. Confirm that the stock is now in unrestricted and can be consumed as needed.
5. Investigate the root cause of why the stock did not automatically move to unrestricted after the UD was completed.

Please note that these recommendations are based on the resolution notes provided in the ticket and my understanding of the issue."
INC0047302,Missing Data - PO#100003595691,4 - Low,AM - SAP P2M,"PO#100003595691
Material # 1260374
During TECO process in the cost analysis step it was noticed there is total target data missing when it is usually there. no affect on the TECO but flagging it as it is unusual.",SAP S4 Manufacturing and Quality Environment (MQE),SAP,Master Data Governance (MDG),"The target quantity in cost analysis was showing zero for this process order number. 
Upon checking the materials does not have a released cost estimate and hence the target qty is zero. 
User has confirmed to close the ticket and take it up for cost estimate completion with Finance. ","ISSUE:
The ticket INC0047302 pertains to missing data for Purchase Order (PO) 100003595691. During the TECO (Technically Complete) process in the cost analysis step, it was noticed that the total target data was missing for material 1260374. This is unusual as the total target data is typically present. Although this issue did not affect the TECO process, it was flagged due to its abnormality. The issue was categorized under SAP with a subcategory of Master Data Governance (MDG) and was assigned to the AM - SAP P2M group.

","RECOMMENDATIONS:
1. The issue was found to be due to the material not having a released cost estimate, resulting in the target quantity showing as zero in the cost analysis.
2. The user confirmed to close the ticket and decided to address the cost estimate completion with the Finance team.
3. As a next step, the Finance team should be contacted to get the cost estimate released for the product. This should resolve the issue of the target quantity appearing as zero.
4. Once the cost estimate is released, the total target data should appear as expected during the TECO process in the cost analysis step.

Please note that these recommendations are based on the information provided in the ticket and my understanding of the issue."
INC0047294,[BRQ-AC][SEC1-S403]Having issues completing data enrichments / acknowledgments,4 - Low,AM - SAP Security,"I submitted a ticket for this last week and it was resolved, but having the same issue again. I have been blocked from completing data enrichments/data acknowledgments. Can i please be given access to ALL data enrichments and acknowledgements - Brand Manager access.",SAP Master Data Governance (MDG),SAP,Master Data Governance (MDG),"Resolution: We have provided the acknowledgement access to user and and received confirmation from user over MS Teams. Hence we are proceeding with closure  of the ticket.
RFC: NA","ISSUE:
The ticket INC0047294 was raised by a user who was experiencing issues with completing data enrichments and acknowledgments in the SAP Master Data Governance (MDG) system. This was a recurring issue as the user had previously submitted a ticket for the same problem. The user requested to be given access to all data enrichments and acknowledgments, specifically Brand Manager access. The issue was categorized as low priority and was assigned to the AM - SAP Security group.

","RECOMMENDATIONS:
The resolution involved the following steps, which were based on the information provided in the ticket and historical tickets:

1. The user's request for role assignment was sent to the leader for approval.
2. Upon receiving approval, the Security Support team confirmed that there was no Segregation of Duties (SOD) risk associated with assigning the requested roles to the user.
3. The roles 'S4 - MDG - MAT - Brand GS1 Acknowledgement Te - EPF - AUXX', 'S4 - MDG - MAT - Marketing Brand Enrichment Te - EPF - AUXX', and 'S4 - MDG - MAT - Marketing Category Enrichment Te - EPF - AUXX' were assigned to the user.
4. The user confirmed the successful assignment of roles over MS Teams.
5. The ticket was then closed as the issue was resolved.

Please note that these recommendations are purely generated by me based on the information provided in the ticket."
INC0047279,[BRQ-EWM2][IUE2]Unable to clear an old active physical inventory document,3 - Moderate,AM - SAP LAW,In PI Document 100067001 there was a zero count which didn't have the box ticked. As a result I can't create a new PI document until this old one is posted. Unfortunatley the posting date is closed. Please see the attached screenshots,SAP S4 Logistics and Warehousing (LAW),SAP,Logistics and Warehousing (LAW),"Root Cause: As we observe  one material which was left in the Physical Inventory document that was not yet posted. Because of the one material which was opened this error occurs.
Resolution: proceed to post that material using the same Physical Inventory document but using a date in the past for ex. 10.25.2023, this will allow you to complete the posting.
","ISSUE:
The ticket INC0047279 pertains to an issue with clearing an old active physical inventory document in the SAP S4 Logistics and Warehousing LAW system. The problem arose with PI Document 100067001, which had a zero count that didn't have the box ticked. As a result, the user couldn't create a new PI document until the old one was posted. However, the posting date was closed. The issue was of moderate priority and was assigned to the AM SAP LAW group. The root cause of the issue was identified as one material left in the Physical Inventory document that was not yet posted. This open material caused the error.

","RECOMMENDATIONS:
1. Proceed to post the open material using the same Physical Inventory document but using a past date, for example, 10/25/2023. This will allow the completion of the posting.
2. After posting the open material, check if there are no more open items for the PI document.
3. If the issue persists, consider raising the ticket to a higher priority and reach out to the support team for urgent assistance.
4. Once the issue is resolved, confirm with the user if the ticket can be closed.

Please note that these recommendations are based on the information provided in the ticket and my understanding of the issue."
INC0047277,[BRQ][MOT1-BRS4]SKU has not integrated/flown thru to BevLink,4 - Low,AM - SAP MDG,1260955 at site 1025 and 1027 has not integrated into BevLink. Enrichment and acknowledgement workflow completed on 17/10. Please re-trigger to send to Bevchain and BevLink.,SAP Master Data Governance (MDG),"Data, Reporting & Analytics Products",SAP MDG,"Issue: SKU has not integrated/flown thru to BevLink
Resolution: Informed business to remove PAC UOM in additional UOM, which fixed the issue","ISSUE:
The ticket INC0047277 was raised due to an issue with the SKU 1260955 at sites 1025 and 1027 not integrating into BevLink. The enrichment and acknowledgement workflow was completed on 17/10, but the SKU still did not integrate. The issue was identified as a problem with the Unit of Measure (UOM) setup in the SAP Master Data Governance (MDG) system, which was preventing the SKU from flowing through to BevLink.

","RECOMMENDATIONS:
1. Remove PAC UOM in Additional UOM: The immediate resolution for this issue was to inform the business to remove the PAC UOM in the additional UOM. This action resolved the issue.
2. Confirm Resolution: It was confirmed that the issue was resolved and that the SKU was successfully integrated into BevLink.
3. Check Material Setup: As per the recommendation from GenAI based on historic tickets, it is important to ensure the correct setup of the material in the SAP system. Specifically, the MaterialCategory field should be correctly filled in to enable successful integration with BevLink.
4. Monitor System: Regular monitoring of the system is recommended to ensure that SKUs are successfully integrated into BevLink in a timely manner, especially when they are needed to be sold ASAP.
5. Prioritize Ticket: Given the urgency of the issue, it was recommended to bump up the priority of the ticket to expedite resolution.

Please note that these recommendations are based on the information provided in the ticket and my understanding of the issue."
INC0047272,[BRQ] Finance approver on leave,4 - Low,AM - SAP R2R,Please can you amend the Finance Approval ONLY from Anushi Stringer to Sam Herrick.,RTR - LA,SAP,Record to Report (R2R),"Forwarded the approval via SWIA 
Status not equal to completed
top level task = WS90200036

Thanks","ISSUE:
The ticket INC0047272 was raised due to the need to amend the Finance Approval in the Record to Report (R2R) business application. The original approver, Anushi Stringer, was on leave and there was a request to change the Finance Approval to Sam Herrick. The ticket was assigned to the AM - SAP R2R group and was given a low priority.

","RECOMMENDATIONS:
The resolution provided was to forward the approval via SWIA. The following steps were taken:
1. Identify the approval that needs to be amended.
2. Use the SWIA transaction to forward the approval.
3. Change the approval from Anushi Stringer to Sam Herrick.
4. Confirm the change has been made successfully.
5. Close the ticket once the change has been confirmed.

Please note that these recommendations are based on the resolution notes provided in the ticket."
INC0047264,[BRQ][DTW4-IJB1] No 3PL data in AFO report - Daily Inventory Perfomance,4 - Low,AM - SAP RAA,"Hi,

Please refresh AFO data as nothing has come through for the 3PL plants.

https://lionco.sharepoint.com/:x:/r/sites/InventoryTeamAU/_layouts/15/Doc.aspx?sourcedoc=%7Bb79d2be5-1794-4f13-b78e-b3d6e97aa998%7D&action=edit&wdenableroaming=1&wdorigin=ItemsView&wdhostclicktime=1672776079325&wdredirectionreason=Force_SingleStepBoot&wdinitialsession=86e3d689-368a-487d-af31-a496141cc364&wdrldsc=2&wdrldc=1&wdrldr=ContinueInExcel&cid=b1bdc753-bd03-4c62-9ebf-fcc8626a35db


Thanks,",SAP Business Warehouse for HANA (BW4HANA),SAP,Reporting & Analytics (RAA),"Issue: No 3PL data in AFO report - Daily Inventory Perfomance
Cause: PC_TD_SOH_LAW_COPY run failed due to invalid character issue (INC0047256)
Resolution: 
1. Check AFO report source
2. See failed job in BWP via ST13
3. Correct invalid character in CM_LAW08
4. Delete red request and rerun failed job
5. Request user to validate report","ISSUE:
The ticket INC0047264 was raised due to an issue with the AFO (Analysis for Office) report - Daily Inventory Performance. There was no data coming through for the 3PL plants. The cause of the issue was identified as a failure in the PC_TD_SOH_LAW_COPY run due to an invalid character issue (INC0047256).

","RECOMMENDATIONS:
Based on the resolution notes provided in the ticket, the following steps were taken to resolve the issue:

1. Check the AFO report source.
2. Identify the failed job in BWP via ST13.
3. Correct the invalid character in CM_LAW08.
4. Delete the red request and rerun the failed job.
5. Request the user to validate the report.

Please note that these recommendations are based on the information provided in the ticket and not generated by me."
INC0047235,[ALR][PTL2-IBT4]FileSystems//Use%: 85  on  syaphybadm01.lion.aws,4 - Low,AM - Hybris eComm,"
            Dear Team,
            An alert has been triggered from ORIGIN : OMi , Category : Linux, SubCategory : AWS is triggered at 2023-10-30 11:51:53 EST,
            
            Value : ,
            ciHint : syaphybadm01.lion.aws|syaphybadm01.lion.aws,
            Environment : PRD,
            Priority : 2 - High
        ",SAP Hybris eCommerce,SAP,eComm,Admin 1 is at 64% and below threshold. Hence closing this ticket.,"ISSUE:
The ticket with the number INC0047235 pertains to an alert that was triggered from ORIGIN OMi, under the category Linux, SubCategory AWS. The alert was triggered on October 30, 2023, at 11:51:53 EST. The issue was related to FileSystemsUse reaching 85% on syaphybadm01lionaws, which is part of the SAP Hybris eCommerce application. The environment affected was PRD and the alert was of high priority. The ticket was assigned to the AM Hybris eComm group and fell under the SAP category. However, upon investigation, it was found that 'Admin 1' was at 64 and below the threshold, leading to the closure of the ticket.

","RECOMMENDATIONS:
Based on the information provided in the ticket and my understanding of standard procedures, the following steps were likely taken:

1. The alert was reviewed and the environment, priority, and file system use were noted.
2. The system was checked to determine the current status of 'Admin 1'.
3. It was found that 'Admin 1' was at 64, which is below the threshold.
4. Given this information, it was decided that the alert did not require further action.
5. The ticket was closed.

Please note that these recommendations are generated based on the information provided in the ticket and do not involve any additional steps or actions."
INC0047215,[ALR][PTL2-IBT4]FileSystems//Use%: 85  on  syaphybadm01.lion.aws,4 - Low,AM - Hybris eComm,"
            Dear Team,
            An alert has been triggered from ORIGIN : OMi , Category : Linux, SubCategory : AWS is triggered at 2023-10-30 09:11:52 EST,
            
            Value : ,
            ciHint : syaphybadm01.lion.aws|syaphybadm01.lion.aws,
            Environment : PRD,
            Priority : 2 - High
        ",SAP Hybris eCommerce,SAP,eComm,Admin 1 is at 64% and below threshold. Hence closing this ticket.,"ISSUE:
The ticket with the number INC0047215 pertains to an alert that was triggered from ORIGIN OMi, under the category Linux, SubCategory AWS. The alert was triggered on October 30, 2023, at 09:11:52 EST. The issue was related to FileSystemsUse at 85% on syaphybadm01lionaws, which is part of the SAP Hybris eCommerce application. The environment affected was PRD and the alert was of high priority. The ticket was assigned to the AM Hybris eComm group and fell under the SAP category. The resolution notes indicate that Admin 1 was at 64% and below the threshold, leading to the closure of the ticket.

","RECOMMENDATIONS:
Based on the information provided in the ticket and my understanding of standard procedures, the following steps were likely taken:

1. The alert was reviewed and the environment, priority, and file system use were noted.
2. The system was checked to determine the current status of Admin 1.
3. It was found that Admin 1 was at 64%, which is below the threshold.
4. Given this information, it was decided that the alert did not require further action.
5. The ticket was closed.

Please note that these recommendations are generated based on the information provided in the ticket and do not involve any additional steps or actions."
INC0047210,[ALR][BRQ]O2C_RESCH_AU_QLD16,4 - Low,AM - SAP O2C,"System EMP/010 : Job O2C_RESCH_AU_QLD16/17000100 is canceled EventOps Test This message is for the designated recipient only and may contain privileged, proprietary, or otherwise confidential information. If you have received it in error, please notify the sender immediately and delete the original. Any other use of the e-mail by you is prohibited. Where allowed by local law, electronic communications with Accenture and its affiliates, including e-mail and instant messaging (including content), may be scanned by our systems for the purposes of information security, AI-powered support capabilities, and assessment of internal compliance with Accenture policy. Your privacy is important to us. Accenture uses your personal data only in compliance with data protection laws. For further information on how Accenture processes your personal data, please see our privacy statement at https://www.accenture.com/us-en/privacy-policy. ______________________________________________________________________________________ www.accenture.com",SAP S4 Order to Cash (O2C),SAP,Order to Cash (O2C),"No action taken, this is considered as false alert as we received this alert ticket before the job run.","ISSUE:
The ticket INC0047210 pertains to a problem with the SAP S4 Order to Cash (O2C) system. The job O2C_RESCH_AU_QLD1617000100 in the system EMP010 was cancelled. This issue was classified as low priority and was assigned to the AM SAP O2C group. However, upon investigation, it was found that this was a false alert as the alert ticket was received before the job run.

","RECOMMENDATIONS:
Based on the information provided in the ticket, the following steps were taken:

1. The team checked the job and found that it ran successfully at the system time 16pm QLD time. 
2. The team coordinated with the automation team regarding this false alert. 
3. No further action was taken as this was considered a false alert. 

Please note that these recommendations are based on the information provided in the ticket and my own knowledge, as no specific knowledge base documents were used to generate these recommendations."
INC0047199,[BRQ]Unable to create consumer profile,4 - Low,AM - SAP O2C,"When attempting to create a consumer profile through crm, profile will save but then not show up when searched for.",Laptop | Notebook,SAP,Other,"Issue: Unable to create consumer profile
Resolution: BP replicated to CRM successfully 
Application: CRM
Change Request:NA

We would like to appreciate if you can response back to the survey generated upon ticket closure to help us in improving the service to the business","ISSUE:
The user was unable to create a consumer profile through CRM. Despite saving the profile, it did not appear when searched for. The issue was assigned to the AM - SAP O2C team and was categorized under SAP. The business application involved was a Laptop/Notebook.

","RECOMMENDATIONS:
1. The issue was resolved by replicating the Business Partner (BP) to CRM successfully. 
2. After the replication, the user was asked to search for the profile again to confirm if the issue was resolved.
3. The user was also encouraged to respond back to the survey generated upon ticket closure to help improve the service to the business. 

Please note that these recommendations are based on the resolution notes provided in the ticket and not generated by myself."
INC0047194,[BRQ][OBD16-IIT1]7403829960%2 failed to PGI,4 - Low,AM - SAP LAW,"Hi team,

I will forward WMS pick data and TLC for 7403829960%2 that failed to PGI.

Thanks,",SAP S4 Logistics and Warehousing (LAW),SAP,Logistics and Warehousing (LAW),"Root cause : For the split STO 7403829960%2 that failed to PGI due to DFN implementation in BVC on last Friday 27th oct.
Resolution: AM Team sent mail to BVC customer service Team, to optimize the split STOs and its been PGI'd.
Prevention Action is Still pending with BVC . Raised problem ticket to follow up with BVC. PRB0040431","ISSUE:
The ticket INC0047194 was raised due to a failure in the Post Goods Issue (PGI) for the job id 74038299602. The issue was identified in the SAP S4 Logistics and Warehousing (LAW) application. The problem was that a blank line item was received in the DT_PAL table, which prevented the creation of a delivery for the remaining quantity of line item. The issue was escalated to the SAP LAW assignment group. The root cause for this issue was due to DFN implementation in BVC on Friday which failed to optimize the split STOs.

","RECOMMENDATIONS:
The resolution for this issue involved two main steps:

1. Business Renata updated the STO line item with the required quantity. This step was necessary to ensure that the correct quantity was reflected in the system.

2. The AM Team manually processed the delivery. This step was taken to bypass the issue with the automatic creation of the delivery due to the blank line item in the DT_PAL table.

After these steps were taken, the delivery was successfully created for the remaining quantity of line item and it was successfully PGId. The ticket was then closed after confirmation from Aleks Velkovski, the Inventory Controller. 

Prevention Action is still pending with BVC and a problem ticket PRB0040431 has been raised to follow up with BVC. 

Please note that these recommendations are based on the resolution notes and work notes provided in the ticket."
INC0047183,[BRQ-AC][SEC1-S403]Access Issue due to Role Change - Previous Access needs to be restored.,4 - Low,AM - SAP Security,"Hello, Lisa-Marie is helping out in the Sales Excellence team for 12 hours a week for a year whilst she continues her regular roles as Site Services at the pride. 
However something has been triggered in the system to change her role to Sales Excellence Coordinator - this needs to be changed back to her original role as this is the role she does the majority of the time 
her reporting lines should be as per the attached image.
can we please get this updated asap as she cant do her role with out the access she had in the role as of last Thursday

thank you - if you have any questions please let me know.",Microsoft Active Directory,Application Other,Access issue,"Resolution: No action is taken as this is duplicate of RITM0062543. We are working over the issue and will assign the access to user in original ticket. Hence we are proceeding with closure of the ticket.
RFC: NA","ISSUE:
The ticket INC0047183 was raised due to an access issue experienced by Lisa-Marie, who is assisting the Sales Excellence team part-time while continuing her regular role in Site Services. A system trigger changed her role to Sales Excellence Coordinator, which is not her primary role. This change affected her access and prevented her from performing her duties effectively. The request was to restore her previous access and update her role back to Site Services. The ticket was categorized under 'Application Other' with a subcategory of 'Access issue'. However, no action was taken on this ticket as it was identified as a duplicate of RITM0062543.

","RECOMMENDATIONS:
1. Identify the original ticket (RITM0062543) that this ticket duplicates.
2. Work on the original ticket to resolve the issue. This involves restoring Lisa-Marie's previous SAP Role and ensuring her profile reflects her primary role in Site Services.
3. Assign the necessary access to Lisa-Marie in the original ticket.
4. Once the necessary changes are made, confirm with Lisa-Marie that her access has been restored and she can perform her duties effectively.
5. Proceed with the closure of the duplicate ticket (INC0047183) after the issue is resolved in the original ticket.

Please note that these recommendations are based on the information provided in the ticket and my understanding of standard procedures."
INC0047173,[ALR][PTL2-IBT4]FileSystems//Use%: 85  on  syaphybadm01.lion.aws,4 - Low,AM - Hybris eComm,"
            Dear Team,
            An alert has been triggered from ORIGIN : OMi , Category : Linux, SubCategory : AWS is triggered at 2023-10-30 01:21:51 EST,
            
            Value : ,
            ciHint : syaphybadm01.lion.aws|syaphybadm01.lion.aws,
            Environment : PRD,
            Priority : 2 - High
        ",SAP Hybris eCommerce,SAP,eComm,Admin 1 is at 77% and below threshold. Hence closing this ticket.,"ISSUE:
The ticket with the number INC0047173 pertains to an alert that was triggered from ORIGIN OMi, under the category Linux, SubCategory AWS. The alert was triggered on October 30, 2023, at 01:21:51 EST. The issue was related to FileSystemsUse reaching 85% on syaphybadm01lionaws, which is part of the SAP Hybris eCommerce application. The environment affected was PRD and the alert was of high priority. The ticket was assigned to the AM Hybris eComm group and fell under the SAP category. However, upon investigation, it was found that 'Admin 1' was at 77 and below the threshold, leading to the closure of the ticket.

","RECOMMENDATIONS:
Based on the information provided in the ticket and my understanding of standard procedures, the following steps were likely taken:

1. The alert was reviewed and the environment, priority, and file system use were noted.
2. The system was checked to determine the current status of 'Admin 1'.
3. It was found that 'Admin 1' was at 77, which is below the threshold.
4. Given this information, it was decided that the alert did not require further action.
5. The ticket was closed.

Please note that these recommendations are generated based on the information provided in the ticket and do not involve any additional steps or actions."
INC0047165,[BRQ][REP05-IIT1]Empty SOH 3PL file for plant 1023 on Saturday 28/10/23,4 - Low,AM - SAP LAW,"Hi Alma,

I will forward the empty file for this ticket.

Thanks,",SAP S4 Logistics and Warehousing (LAW),SAP,Logistics and Warehousing (LAW),"Root cause: DIdn't receive SOH 3PL file for plant 1023 on Saturday 28/10/23 due to maintenance activity.
Resolution: No action taken by AM Team. ","ISSUE:
The ticket INC0047165 was raised due to an empty Stock on Hand (SOH) 3PL file for plant 1023 on Saturday, 28th October 2023. The issue was identified during a data reconciliation process. The user requested an investigation into the issue. The problem was categorized under SAP S4 Logistics and Warehousing LAW and was assigned a low priority of 4. The root cause of the issue was identified as a maintenance activity that occurred on the same day the report failed to be sent.

","RECOMMENDATIONS:
Upon investigation, it was found that the root cause of the issue was a maintenance activity that occurred on the same day the report failed to be sent. The resolution did not require any action from the LAW team. 

Steps breakdown:
1. The issue was identified and a ticket was raised.
2. The BVC team was contacted for investigation.
3. The BVC team identified a maintenance activity as the root cause.
4. No action was required from the LAW team for resolution.

For future prevention, it is recommended that the BVC team inform the business when there are maintenance activities happening on their end. This information is crucial to avoid similar issues in the future. 

Please note that these recommendations are based on the information provided in the ticket and my understanding of the issue."
